product_image_link,product_name,product_url,product_price
"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202105/60a36292b587d.jpg",Denise,https://www.glassesshop.com/eyeglasses/fp2300,$24.94
"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202101/5ff15557c070f.jpg",Hillsborough,https://www.glassesshop.com/eyeglasses/fp0989,$19.95
"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202112/61adc0a1be88b.jpg",Mark,https://www.glassesshop.com/eyeglasses/sm0937,$29.95
"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202011/5fc45741a56c5.jpg",Jacksonville,https://www.glassesshop.com/eyeglasses/fp2183,$19.95
"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5d031896295ff.jpg",Riverside,https://www.glassesshop.com/eyeglasses/fm1385,$19.95
"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201907/5d268bd885fb9.jpg",Leigh,https://www.glassesshop.com/eyeglasses/fz1368,$5.95
"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202102/6023752dda9dd.jpg",Evansville,https://www.glassesshop.com/eyeglasses/fp1363,$19.95
"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202007/5f1e8acd71af1.jpg",Evanston,https://www.glassesshop.com/eyeglasses/sup0791,$24.95
"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/201906/5cf730e71cec3.jpg",Rochester,https://www.glassesshop.com/eyeglasses/fm1263,$29.95
"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202106/60bdd7a9093d3.jpg",Labrador,https://www.glassesshop.com/eyeglasses/fp1988?page=2,$12.95
"https://glassesshop-res.cloudinary.com/c_fill,f_auto,fl_lossy,q_auto,w_800,h_400,c_pad/products/202001/5e0eb47d12e4c.jpg",Christian,https://www.glassesshop.com/eyeglasses/sup0759?page=2,$29.95
